table with row headers in column B and column headers in rows 3 through 4,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2019 Population: April 1, 2010 to July 1, 2019",,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,"New York city, New York","8,175,133","8,175,031","8,190,209","8,272,948","8,346,693","8,396,091","8,433,806","8,463,049","8,469,153","8,437,478","8,390,081","8,336,817"
2,"Los Angeles city, California","3,792,621","3,793,139","3,795,512","3,820,876","3,851,202","3,881,622","3,909,901","3,938,568","3,963,226","3,975,788","3,977,596","3,979,576"
3,"Chicago city, Illinois","2,695,598","2,695,652","2,697,477","2,708,114","2,719,141","2,725,731","2,727,066","2,724,344","2,716,723","2,711,069","2,701,423","2,693,976"
4,"Houston city, Texas","2,099,451","2,095,517","2,100,280","2,126,032","2,161,593","2,199,391","2,241,826","2,286,908","2,309,544","2,316,750","2,318,573","2,320,268"
5,"Phoenix city, Arizona","1,445,632","1,446,691","1,449,038","1,469,796","1,499,274","1,526,491","1,555,445","1,583,690","1,612,199","1,633,560","1,654,675","1,680,992"
6,"Philadelphia city, Pennsylvania","1,526,006","1,526,012","1,528,283","1,540,466","1,551,824","1,558,313","1,565,460","1,571,065","1,576,051","1,580,601","1,583,592","1,584,064"
7,"San Antonio city, Texas","1,327,407","1,326,161","1,332,299","1,357,120","1,383,075","1,408,339","1,435,456","1,464,043","1,487,843","1,511,154","1,530,016","1,547,253"
8,"San Diego city, California","1,307,402","1,301,929","1,305,906","1,319,592","1,336,776","1,355,320","1,375,831","1,387,323","1,402,089","1,412,621","1,421,917","1,423,851"
9,"Dallas city, Texas","1,197,816","1,197,658","1,200,350","1,218,282","1,242,115","1,258,835","1,279,098","1,301,329","1,323,916","1,342,479","1,341,802","1,343,573"
10,"San Jose city, California","945,942","952,528","954,940","970,369","983,530","1,001,279","1,014,273","1,025,980","1,030,242","1,032,335","1,028,020","1,021,795"
11,"Austin city, Texas","790,390","801,829","806,164","828,459","854,482","875,003","901,170","921,114","939,447","951,553","962,469","978,908"
